1 jajecznicę;2 jajecznice;3 jajecznice;4 jajecznice; jajecznic
1 omlet;2 omlety;3 omlety;4 omlety; omletów
1 rosół;2 rosoły;3 rosoły; 4 rosoły; rosołów
1 zupa pomidorowa;2 zupy pomidorowe;3 zupy pomidorowe;4 zupy pomidorowe; zup pomidorowych
1 zupa jarzynowa;2 zupy jarzynowe;3 zupy jarzynowe;4 zupy jarzynowe; zup jarzynowych
1 zupa grzybowa;2 zupy grzybowe;3 zupy grzybowe;4 zupy grzybowe; zup grzybowych
1 żurek; 2 żurki; 3 żurki; 4 żurki; żurków
1 barszcz ukraiński; 2  barszcze ukraińskie;3 barszcze ukraińskie;4 barszcze ukraińskie; barszczów ukraińskich
1 gulasz;2 gulasze;3 gulasze;4 gulasze; gulaszy
1 leczo;2 lecza;3 lecza;4 lecza; lecz
1 sałatkę jarzynową;2 sałatki jarzynowe;3 sałatki jarzynowe;4 sałatki jarzynowe; sałatek jarzynowych
1 kotleta schabowego;2 kotlety schabowe;3 kotlety schabowe;4 kotlety schabowe; kotletów schabowych
1 naleśniki serowe;2 naleśniki serowe;3 naleśniki serowe;4 naleśniki serowe; naleśników serowych
1 kawę;2 kawy; 3 kawy; 4 kawy; kaw
1 herbatę tradycyjną;2 herbaty tradycyjne;3 herbaty tradycyjne;4 herbaty tradycyjne; herbat tradycyjnych
1 herbatę zieloną;2 herbaty zielone;3 herbaty zielone;4 herbaty zielone; herbat zielonych
1 sok;2 soki;3 soki;4 soki; soków
1 szklankę wody;2 szklanki wody;3 szklanki wody;4 szklanki wody; szklanek wody
1 sernik;2 serniki;3 serniki;4 serniki; serników
